Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Austria,AUT,69.989256400729,71.3451469170801,72.1329509378888,73.0468773689386,74.3090996254643,76.1905821350589,77.7483899999477,79.5049367407634,81.0423958239972,82.4520414231565,83.186968373104,84.700919154098,86.4725784355943,87.9501551699023,89.7150897479378,91.7719290280246,93.4373608656494,94.3486721777502,96.0568359813149,97.4724111917686,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belgium,BEL,70.707905341972,72.1099144997902,73.2925157149708,74.6485124728231,76.078022984393,77.6627839983968,79.4216256406949,80.9557959960184,82.5011363918889,83.1461477452248,84.5622134834913,86.5008205972889,88.4088007042897,89.6575658680975,90.4110442322977,91.4253101520778,93.158084122665,95.0055611847091,96.6370749338723,98.428958972066,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Canada,CAN,68.9920866941159,70.0777991506862,70.9590439115051,73.2650262297999,75.6541063405699,78.0119713235081,80.0170137326723,82.6580117728667,85.9612875066086,83.9627545390004,86.3545492990403,89.1562839154209,90.2426030766384,91.8134902987274,93.5957728281348,92.7836878695138,93.4489266388946,95.8515122282831,97.4341339729069,98.9405346031259,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Czechia,CZE,65.8549938733478,69.1046595716087,71.0397812015527,72.0432046088171,74.9660770997298,75.0543880150086,75.567189741234,78.2580401790307,79.843807224608,81.9558242984015,81.558235862026,81.3778833490047,82.4711057782036,83.5197982868971,85.7804419798355,86.8394328104214,88.1344118797827,89.6182609086851,92.1395450345647,95.6789178699505,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Estonia,EST,42.0259168826362,44.9041535827077,47.0612943591685,48.8916895877854,51.1844453098802,54.2165577750372,59.0844660441024,66.3838588049349,70.8947143495688,70.6199072742011,71.9027445072323,75.8855631219665,79.0769531034296,82.3380501873219,84.6900720653938,85.7964962611494,87.8886666505325,91.1766682162675,95.5978928919907,99.2522942978791,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Finland,FIN,72.7308016288743,75.1342863072009,75.8429027390339,75.9869913259963,76.4446152235049,77.1550718219089,77.8650375265328,80.0097507539653,82.4401160744001,83.9036141356558,84.1963311464477,86.3862174353177,88.9305904548191,91.2084534047575,92.7085319460865,94.2221863528743,94.274192663407,95.0623682171237,96.951313571673,98.3879953726235,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,France,FRA,75.7381971745127,77.1790391039495,78.772228969585,80.1912157130637,81.5012509359315,83.1003897217882,84.7602198965717,86.781776741465,88.7784511557395,88.872521814014,89.8407403246603,90.6057147898678,91.5861111187861,92.2710614868023,92.7977401424006,93.8504749093193,94.335924216755,94.8890564538999,95.9466835322152,97.1081402840986,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Greece,GRC,78.1586691144233,80.8713118956389,83.2599725939731,86.2228522352232,88.7826454999877,90.4698867776271,93.5137786948896,96.6624846846638,100.589773995993,102.972176710734,104.188196411618,105.205758561532,104.853771733192,102.798300595601,100.821001437819,100.64481297452,100.151692497107,100.355614895143,100.119979458447,100.36528920845,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Ireland,IRL,71.3325578632593,76.2257472149818,80.1795022821592,83.3159086117248,83.7452669050547,86.3189349945809,89.2709534063598,90.3408564036878,89.8850626027875,85.7282389002048,83.2778659822758,84.830613029396,86.8963669824521,88.0602686509267,88.2900405210006,96.1553152251686,96.2700994809043,97.7140905846831,98.6172979581063,101.962096762059,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Italy,ITA,70.3117994735981,72.4661387648346,74.8611501763971,77.2322007081547,79.2632225596416,80.9152302349763,82.708223885627,84.7484247970932,86.7862811556124,88.3245986714958,88.8526381897957,90.3887081237109,91.9274672532375,92.9623720044883,93.801404551964,94.5356598825873,95.715627369582,96.395037677377,97.4270251334841,98.44709281329,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Japan,JPN,108.855034764828,107.67408842897,106.176364884669,104.469363529724,103.294327230631,102.060974700593,101.181190330486,100.467616514456,99.5518237598966,98.9848114900463,97.1231626161631,95.5477469770773,94.8253170364396,94.4892797676362,96.0826475659396,98.1112395366545,98.5232521694806,98.4500006203685,98.4497667952571,99.0747290314779,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Lithuania,LTU,58.414194352898,58.2294667233707,58.4129789777754,57.9384663741822,59.7468107300895,63.5545649089062,67.6761219798138,73.7074910676766,80.8689690744837,78.3704960027744,80.0332996720228,84.5329951045238,86.6506995793246,87.3732169854565,87.9054864611062,87.903506141976,88.7715290251284,92.4074257931527,95.7276353915743,98.0019901242151,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Luxembourg,LUX,58.5873312653197,59.0502144289425,59.9149517989606,61.2246785955478,63.1332530074556,66.1745882295762,70.4459427405825,71.7791187480097,76.5236932282996,77.1899758201318,80.7780881671812,83.5644974809593,86.2936949318525,88.2577610785496,90.7260671392196,92.7394427000918,91.7122452162654,93.6775510704305,95.4008321201141,96.2750571275692,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Latvia,LVA,43.2634428948618,44.398328190051,45.8452716088704,47.5165596213673,50.8070771894683,56.1140483718471,61.8524870365407,73.9449485837913,83.0951914802976,78.3324876004024,77.9534669936907,81.6235997059251,83.9731899519099,85.5691253595764,86.9980862753768,87.3346709249203,87.8656050993108,90.2460951767815,93.6215506880742,97.6626143415894,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Netherlands,NLD,70.2341888060926,73.3069288375911,76.1495468980747,77.8903915076155,78.8230897866484,80.3834638936689,82.4546412238469,84.1444893406763,86.1742783713436,86.5514291728292,87.1661804383557,87.3776942641168,88.5390570806176,89.5527650413062,89.8608964572882,90.6592502742771,91.1719680071295,92.484230819773,94.8272289992223,97.6984872093347,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Norway,NOR,57.9490904040008,58.9415498689846,58.0455164577213,59.7060961255873,63.1990256327812,68.7371588579326,74.7394169745128,77.0396435975086,85.1799474211191,80.8221890301668,85.6354424145776,91.3497156482466,94.4127532064493,96.8233363485677,97.0734628262487,94.3510685160856,92.8432467624147,96.6321326477995,103.147964493482,102.58226288892,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Slovak Republic,SVK,67.0754189698915,70.6808766535971,73.540792148156,77.545882260628,82.12519815216,84.2986964727908,86.7395985171853,87.7611546430199,90.381143250589,89.3665494438129,89.7870445760179,91.2413886477063,92.4630035338618,92.9568131798679,92.8335501041545,92.6611648599253,92.2989437097209,93.3897996205045,95.3590621189007,97.6488313912404,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Slovenia,SVN,59.854660428318,65.0620207351987,70.0196228351541,73.9851545977449,76.4697035485878,77.6190408931432,79.3449798145244,82.6776687075391,86.4023099799195,88.7635462492342,88.3273005414751,89.5325445823582,90.0935721515477,91.1141496033147,91.6895823369998,92.4847128540228,93.3036487431222,94.5050554704644,96.566166977325,98.824450370107,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Sweden,SWE,69.6633886254554,71.4675097751432,72.6277647158596,73.9698214241219,74.276526401556,74.8443353723831,76.1511721609664,78.3779300461538,81.0126772747705,82.9236854860457,83.778014614023,84.7140664311335,85.5184416842797,86.3835868655876,87.966744845855,89.9490159001693,91.4349916409665,93.4708386684653,95.9161481701495,98.2379424660882,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,United States,USA,72.7222474578486,74.3597269738733,75.5152731568209,77.0061822995982,79.0769459998626,81.5563677085196,84.0714329354303,86.3491453663234,88.012842725182,88.5556889641088,89.6318944594172,91.4810985661264,93.1846275007297,94.7705183765681,96.4210588337984,97.3158875215683,98.24070227512,100,102.290890276943,103.979166303616,105.360875506381
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,United Kingdom,GBR,64.6506205322086,65.6276512187405,67.0183347949422,68.6180923810523,70.3943669254951,72.4650326955338,74.4885731664265,76.1630637419521,78.7733204600381,80.2677214864018,81.5432403807217,83.3339249512874,84.6195534007095,86.4045529706393,87.5441448078939,88.1205359887272,89.8513566550614,91.5182044679217,93.2759462017499,95.2654767967089,100
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/04/2025,,,,,,,,,,,,,,,,,,,,,,,,
