STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,USA,United States,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,1,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,CAN,Canada,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,1.248004,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,CAD,Canadian dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,CZE,Czechia,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,12.934509,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,CZK,Czech koruna
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,JPN,Japan,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,103.449739,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,JPY,Yen
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,NOR,Norway,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,9.929852,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,NOK,Norwegian krone
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SWE,Sweden,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,8.852008,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,SEK,Swedish krona
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GBR,United Kingdom,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.692365,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,GBP,Pound sterling
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,AUT,Austria,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.798599,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,BEL,Belgium,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.799784,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,EST,Estonia,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.537436,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,FIN,Finland,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.907504,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,FRA,France,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.808478,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.608907,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,IRL,Ireland,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.809469,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ITA,Italy,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.738495,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LVA,Latvia,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.497436,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LTU,Lithuania,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.445738,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.881025,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.809761,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVK,Slovak Republic,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.491417,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVN,Slovenia,S1,Total economy,S1,Total economy,PPP_B1GQ,Purchasing Power Parities for GDP,F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.595138,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
